vehicles,0,394,251,511,336
vehicles,0,905,311,994,359
vehicles,0,786,278,819,296
vehicles,0,1170,465,1278,553
vehicles,0,764,269,794,288
vehicles,0,834,284,897,320
vehicles,0,999,333,1039,386
vehicles,0,15,424,56,533
vehicles,0,1110,380,1238,482
vehicles,0,193,408,247,451
vehicles,0,249,428,278,442
bicycle,2,156,333,309,498
person,1,320,276,346,332
person,1,347,268,376,325
vehicles,0,213,295,330,402
bicycle,2,1045,359,1064,388
vehicles,0,43,369,184,559
person,1,559,239,590,291
