vehicles,0,1019,188,1112,284
vehicles,0,315,57,373,102
vehicles,0,266,88,312,128
vehicles,0,1111,298,1175,381
vehicles,0,177,167,202,194
vehicles,0,468,3,616,59
vehicles,0,1206,642,1230,679
vehicles,0,1175,724,1217,774
vehicles,0,1193,473,1224,522
vehicles,0,1204,516,1225,548
vehicles,0,1144,796,1193,847
vehicles,0,1178,778,1206,814
vehicles,0,875,73,929,123
vehicles,0,422,32,442,57
vehicles,0,967,134,1026,183
person,1,964,110,986,140
person,1,954,101,978,131
vehicles,0,1177,410,1197,431
vehicles,0,1160,372,1195,425
