person,1,416,344,431,381
traffic_sign,4,226,257,242,291
traffic_sign,4,836,182,878,233
person,1,1024,313,1082,433
vehicles,0,12,403,172,553
person,1,190,392,213,442
person,1,328,365,343,397
person,1,730,308,753,365
person,1,757,298,787,370
person,1,938,294,981,412
person,1,919,333,940,381
person,1,906,329,923,363
vehicles,0,156,396,199,442
bicycle,2,810,331,889,410
person,1,430,346,443,378
vehicles,0,214,393,267,427
vehicles,0,755,333,804,363
person,1,634,321,652,352
bicycle,2,830,315,926,415
