vehicles,0,896,63,1012,132
vehicles,0,424,3,706,76
vehicles,0,1129,320,1210,417
vehicles,0,1176,386,1220,450
vehicles,0,840,41,948,89
vehicles,0,1062,178,1101,233
vehicles,0,785,10,874,57
vehicles,0,1096,236,1147,290
vehicles,0,1132,266,1157,304
vehicles,0,1196,464,1239,552
vehicles,0,1217,544,1243,596
vehicles,0,1218,591,1239,640
vehicles,0,1216,636,1237,668
vehicles,0,1162,778,1198,848
vehicles,0,972,114,1073,215
vehicles,0,1096,897,1126,950
person,1,780,3,799,41
vehicles,0,253,30,417,127
vehicles,0,715,3,758,17
