bicycle,2,1051,377,1093,426
bicycle,2,895,300,913,332
bicycle,2,1085,398,1137,439
person,1,910,297,927,335
traffic_sign,4,1107,302,1126,326
traffic_sign,4,1093,303,1123,342
person,1,1003,338,1027,375
person,1,1211,474,1257,537
person,1,1178,464,1240,522
vehicles,0,615,244,683,297
vehicles,0,578,250,604,274
vehicles,0,530,248,586,294
vehicles,0,403,237,536,337
vehicles,0,15,235,425,619
vehicles,0,720,260,795,290
person,1,1210,493,1275,566
person,1,824,268,842,305
person,1,1126,401,1202,471
