vehicles,0,20,672,168,850
vehicles,0,1015,131,1083,209
vehicles,0,981,107,1032,148
vehicles,0,683,3,841,57
vehicles,0,919,61,976,114
vehicles,0,36,571,73,646
person,1,308,97,329,132
person,1,660,3,680,29
person,1,151,242,178,262
person,1,146,246,174,267
vehicles,0,333,84,355,104
person,1,401,48,424,80
person,1,385,59,403,88
person,1,495,15,511,54
person,1,503,11,515,51
vehicles,0,829,3,911,87
person,1,36,644,69,668
vehicles,0,30,337,145,601
person,1,0,362,170,491
person,1,192,196,220,229
person,1,842,26,871,79
