vehicles,0,698,291,800,384
vehicles,0,10,413,129,546
vehicles,0,109,415,209,477
vehicles,0,533,333,570,358
bicycle,2,1238,471,1280,552
vehicles,0,360,363,385,386
vehicles,0,260,379,322,409
vehicles,0,326,370,353,394
vehicles,0,389,354,430,379
person,1,1206,452,1239,515
traffic_light,3,495,229,508,264
traffic_sign,4,921,229,936,262
traffic_light,3,381,245,397,290
traffic_sign,4,914,310,935,338
traffic_light,3,1007,232,1029,293
vehicles,0,415,338,495,384
person,1,1047,350,1083,458
person,1,1178,412,1213,492
person,1,918,347,939,399
person,1,882,349,899,384
