vehicles,0,1117,218,1151,254
vehicles,0,1048,136,1097,201
vehicles,0,114,235,208,367
vehicles,0,361,65,389,92
vehicles,0,171,161,241,241
bicycle,2,956,110,1021,184
vehicles,0,581,3,748,149
traffic_sign,4,227,43,250,67
vehicles,0,773,3,957,145
person,1,47,519,74,535
person,1,52,472,81,491
vehicles,0,217,142,289,221
vehicles,0,268,130,306,172
vehicles,0,285,109,323,152
vehicles,0,307,98,337,135
vehicles,0,322,88,353,123
vehicles,0,337,77,370,111
person,1,0,520,86,584
person,1,81,816,110,836
person,1,46,674,75,694
