vehicles,0,610,259,653,291
vehicles,0,570,266,604,286
vehicles,0,91,398,145,453
vehicles,0,63,434,105,476
vehicles,0,738,257,801,295
traffic_light,3,1103,287,1124,327
traffic_light,3,1117,284,1144,333
traffic_light,3,120,301,155,347
vehicles,0,231,289,316,364
vehicles,0,589,256,613,283
person,1,997,321,1018,354
traffic_light,3,316,256,334,288
vehicles,0,669,262,700,282
person,1,303,284,336,339
person,1,128,324,198,445
person,1,408,275,431,319
vehicles,0,113,313,244,406
person,1,350,272,385,344
