vehicles,0,26,499,101,607
vehicles,0,70,769,108,814
person,1,102,248,200,331
person,1,103,232,208,313
traffic_sign,4,50,270,72,298
traffic_light,3,121,190,160,224
vehicles,0,97,335,135,378
person,1,886,34,909,70
person,1,950,66,968,101
person,1,233,121,288,185
traffic_light,3,80,188,105,212
person,1,407,3,472,97
person,1,198,146,246,199
person,1,175,209,202,244
vehicles,0,49,336,115,435
person,1,51,402,101,425
person,1,853,13,877,70
person,1,17,410,125,500
person,1,1069,173,1113,214
