vehicles,0,716,321,804,377
vehicles,0,637,329,655,352
vehicles,0,578,331,617,357
person,1,183,336,230,458
person,1,315,312,355,417
traffic_sign,4,352,229,376,259
traffic_light,3,1188,235,1227,301
traffic_light,3,111,156,146,226
traffic_sign,4,353,259,374,284
traffic_light,3,131,275,157,307
traffic_light,3,337,233,351,271
traffic_sign,4,1191,298,1208,342
traffic_sign,4,956,303,1002,315
traffic_sign,4,979,252,1013,284
traffic_sign,4,976,274,1011,297
traffic_sign,4,976,284,1014,313
vehicles,0,391,312,477,385
person,1,837,337,854,378
person,1,1016,348,1049,435
person,1,1001,351,1029,428
person,1,984,354,1008,397
person,1,935,368,959,402
person,1,1065,372,1092,450
person,1,1129,433,1150,455
person,1,1147,402,1191,482
traffic_light,3,1197,396,1215,429
person,1,878,342,900,390
bicycle,2,939,375,998,418
person,1,959,348,975,406
person,1,1086,375,1124,459
person,1,1222,402,1280,537
