vehicles,0,820,61,946,136
vehicles,0,327,10,420,92
vehicles,0,638,6,754,58
vehicles,0,1118,304,1181,378
vehicles,0,1185,632,1238,703
vehicles,0,189,157,219,186
vehicles,0,1173,734,1212,785
vehicles,0,214,135,241,163
vehicles,0,1196,722,1217,745
bicycle,2,1034,199,1062,221
vehicles,0,758,27,828,72
vehicles,0,994,149,1023,181
bicycle,2,967,132,992,159
person,1,984,127,1005,168
bicycle,2,1056,215,1087,242
vehicles,0,1154,369,1194,425
vehicles,0,591,3,660,37
vehicles,0,241,114,278,144
