vehicles,0,1165,778,1195,813
vehicles,0,811,46,881,102
vehicles,0,466,35,508,58
vehicles,0,1115,312,1148,369
vehicles,0,514,8,664,50
person,1,1076,248,1140,302
person,1,371,58,392,91
person,1,337,82,354,107
bicycle,2,696,20,755,58
person,1,931,86,983,156
vehicles,0,688,15,743,49
person,1,359,58,382,97
person,1,919,83,962,142
bicycle,2,884,89,928,133
person,1,1090,278,1158,333
vehicles,0,1089,270,1143,307
person,1,987,140,1057,215
person,1,175,201,204,227
person,1,439,33,456,64
