bicycle,2,435,351,486,386
bicycle,2,623,355,644,377
person,1,774,336,797,397
person,1,753,346,764,385
person,1,148,321,211,475
person,1,1035,326,1120,502
person,1,859,336,891,399
person,1,1137,275,1280,597
person,1,199,373,225,434
person,1,133,393,157,455
traffic_sign,4,513,259,537,287
person,1,820,359,845,388
person,1,967,277,1047,516
vehicles,0,314,355,418,402
person,1,224,373,242,424
person,1,154,388,179,445
person,1,1022,347,1065,461
person,1,612,336,628,375
person,1,280,342,312,394
