vehicles,0,1176,472,1274,556
vehicles,0,592,257,619,277
vehicles,0,628,258,654,278
vehicles,0,999,343,1108,431
vehicles,0,793,277,830,302
vehicles,0,560,259,597,274
bicycle,2,155,414,174,449
vehicles,0,548,262,571,280
person,1,491,239,516,299
vehicles,0,330,288,365,320
vehicles,0,510,259,554,288
vehicles,0,885,298,1007,377
vehicles,0,765,274,796,291
vehicles,0,729,260,758,283
vehicles,0,264,281,338,382
vehicles,0,1001,342,1153,447
bicycle,2,92,344,169,484
vehicles,0,113,264,251,395
