vehicles,0,45,743,96,786
vehicles,0,1106,202,1138,245
vehicles,0,40,551,89,606
vehicles,0,38,299,191,518
vehicles,0,35,482,106,536
person,1,321,3,438,159
person,1,853,3,914,90
person,1,182,81,290,176
person,1,951,66,1012,141
person,1,6,509,101,565
person,1,826,3,861,57
person,1,957,52,991,101
person,1,939,31,980,96
person,1,33,653,71,673
bicycle,2,1066,171,1089,193
bicycle,2,499,3,624,52
bicycle,2,0,604,124,657
person,1,1007,101,1069,191
bicycle,2,133,168,305,319
person,1,11,670,109,715
